name,position,years,pro_bowls,draft_round,franchises,franchise_count
Ernie Sims,OLB,2006-2013,0,1,Lions -> Eagles -> Colts -> Cowboys,4
Evan Engram,TE,2017-2025,2,1,Giants -> Jaguars -> Broncos,3
Evan Mathis,OL,2005-2016,2,3,Panthers -> Dolphins -> Bengals -> Eagles -> Broncos -> Cardinals,6
Everson Griffen,DL,2010-2021,4,4,Vikings -> Cowboys -> Lions -> Vikings,3
Ezekiel Ansah,DL,2013-2020,1,1,Lions -> Seahawks -> 49ers,3
Fernando Bryant,CB,1999-2008,0,1,Jaguars -> Lions -> Steelers,3
Frank Clark,LB,2015-2023,3,2,Seahawks -> Chiefs -> Broncos -> Seahawks,3
Frank Gore,RB,2005-2020,5,3,49ers -> Colts -> Dolphins -> Bills -> Jets,5
Gabe Carimi,T,2011-2014,0,1,Bears -> Buccaneers -> Falcons,3
Gardner Minshew,QB,2019-2025,1,6,Jaguars -> Eagles -> Colts -> Raiders -> Chiefs,5
Gary Stills,OLB,1999-2008,1,3,Chiefs -> Ravens -> Rams,3
Geno Smith,QB,2013-2025,2,2,Jets -> Giants -> Chargers -> Seahawks -> Raiders,5
Gerald McCoy,DL,2010-2021,6,1,Buccaneers -> Panthers -> Raiders,3
Gerard Warren,DE,2001-2011,0,1,Browns -> Broncos -> Raiders -> Patriots,4
Germain Ifedi,OL,2016-2025,0,1,Seahawks -> Bears -> Falcons -> Bills -> Browns -> Dolphins,6
Golden Tate,WR,2010-2020,1,2,Seahawks -> Lions -> Eagles -> Giants,4
Gosder Cherilus,OL,2008-2016,0,1,Lions -> Colts -> Buccaneers,3
Greg Jennings,WR,2006-2015,2,2,Packers -> Vikings -> Dolphins,3
Greg Olsen,TE,2007-2020,3,1,Bears -> Panthers -> Seahawks,3
Greg Robinson,OL,2014-2019,0,1,Rams -> Lions -> Browns,3
Greg Zuerlein,K,2012-2024,1,6,Rams -> Cowboys -> Jets,3
Gus Frerotte,QB,1999-2008,1,7,Lions -> Broncos -> Bengals -> Vikings -> Dolphins -> Rams -> Vikings,6
Ha Ha Clinton-Dix,DB,2014-2021,1,1,Packers -> Commanders -> Bears -> Raiders -> Broncos,5
Haason Reddick,LB,2017-2025,2,1,Cardinals -> Panthers -> Eagles -> Jets -> Buccaneers,5
Haloti Ngata,DL,2006-2018,5,1,Ravens -> Lions -> Eagles,3
Hanik Milligan,SS,2004-2007,1,6,Chargers -> Cardinals -> Rams,3
Hardy Nickerson,MLB,1999-2002,5,5,Buccaneers -> Jaguars -> Packers,3
Hayden Hurst,TE,2018-2024,0,1,Ravens -> Falcons -> Bengals -> Panthers -> Chargers,5
Henry Melton,DT,2010-2015,1,4,Bears -> Cowboys -> Buccaneers,3
Isaiah Simmons,LB,2020-2025,0,1,Cardinals -> Giants -> Panthers,3
J.J. Stokes,WR,1999-2003,0,1,49ers -> Jaguars -> Patriots,3
J.P. Losman,QB,2004-2011,0,1,Bills -> Raiders -> Seahawks -> Dolphins,4
Ja'Wuan James,OL,2014-2022,0,1,Dolphins -> Broncos -> Ravens,3
Jabrill Peppers,DB,2017-2025,0,1,Browns -> Giants -> Patriots -> Steelers,4
Jadeveon Clowney,DL,2014-2025,3,1,Texans -> Seahawks -> Titans -> Browns -> Ravens -> Panthers -> Cowboys,7
